customer_id,Predicted_Churn,Churn_Probability,Risk_Level
9420-LOJKX,No,0.4738953633427316,Medium Risk
6575-SUVOI,No,0.21338930752878094,Low Risk
7495-OOKFY,Yes,0.6162733741330382,Medium Risk
4667-QONEA,No,0.01989205137655151,Low Risk
1658-BYGOY,Yes,0.7792309293245571,High Risk
8769-KKTPH,No,0.13430291356450705,Low Risk
5067-XJQFU,No,0.19706208424828695,Low Risk
3957-SQXML,No,0.013278620985811786,Low Risk
5954-BDFSG,No,0.07863648163093326,Low Risk
0434-CSFON,Yes,0.5708043118625085,Medium Risk
1215-FIGMP,No,0.2817384455769807,Low Risk
0526-SXDJP,No,0.006154668974996785,Low Risk
0557-ASKVU,No,0.08934163318445136,Low Risk
5698-BQJOH,Yes,0.7298054404219287,High Risk
5122-CYFXA,No,0.4694928333665539,Medium Risk
8627-ZYGSZ,No,0.23275459077361046,Low Risk
3410-YOQBQ,No,0.04373966201012251,Low Risk
3170-NMYVV,No,0.004585309353529732,Low Risk
7410-OIEDU,No,0.4587509259895094,Medium Risk
2273-QCKXA,No,0.27675539327685134,Low Risk
0731-EBJQB,No,0.017321255245866696,Low Risk
1891-QRQSA,No,0.06633998794705197,Low Risk
8028-PNXHQ,No,0.005589436929287626,Low Risk
5630-AHZIL,No,0.23267859815469327,Low Risk
2673-CXQEU,No,0.19867273098183624,Low Risk
6416-JNVRK,No,0.051834804659796535,Low Risk
5590-ZSKRV,No,0.15686560856435192,Low Risk
0191-ZHSKZ,No,0.28143291544808047,Low Risk
3887-PBQAO,No,0.02217243982804755,Low Risk
5919-TMRGD,Yes,0.7036627631216473,High Risk
8108-UXRQN,No,0.4163672164864235,Medium Risk
9191-MYQKX,Yes,0.5597431911258706,Medium Risk
9919-YLNNG,No,0.3186001728909812,Low Risk
0318-ZOPWS,No,0.00879441830254869,Low Risk
4445-ZJNMU,Yes,0.6925367075443747,Medium Risk
4808-YNLEU,No,0.07655850682510003,Low Risk
1862-QRWPE,No,0.00517837452849033,Low Risk
2796-NNUFI,No,0.008779547894147718,Low Risk
3016-KSVCP,No,0.27293344618025017,Low Risk
4767-HZZHQ,No,0.2246345023660123,Low Risk
2424-WVHPL,Yes,0.5693004928842929,Medium Risk
7233-PAHHL,No,0.02015769189616925,Low Risk
6067-NGCEU,No,0.2460944395007397,Low Risk
9848-JQJTX,No,0.10171325368180782,Low Risk
8637-XJIVR,Yes,0.5922212567477468,Medium Risk
9803-FTJCG,No,0.01156549580474379,Low Risk
0278-YXOOG,No,0.16392504017582948,Low Risk
3212-KXOCR,No,0.005303596545111624,Low Risk
4598-XLKNJ,Yes,0.6488181662475423,Medium Risk
6380-ARCEH,No,0.1931150870934319,Low Risk
3679-XASPY,No,0.20927913682966853,Low Risk
7123-WQUHX,No,0.17403105934121688,Low Risk
5386-THSLQ,No,0.03527793024403988,Low Risk
3192-NQECA,No,0.08521525510175677,Low Risk
6180-YBIQI,No,0.4463910752716148,Medium Risk
6728-DKUCO,No,0.13606354992014547,Low Risk
9750-BOOHV,No,0.07109370658413376,Low Risk
8597-CWYHH,No,0.2656609004075104,Low Risk
2848-YXSMW,No,0.0016647750410332574,Low Risk
0486-HECZI,No,0.312815259157095,Low Risk
4549-ZDQYY,No,0.015704282579326642,Low Risk
5712-AHQNN,No,0.39759398549891045,Low Risk
4846-WHAFZ,Yes,0.5225160275136274,Medium Risk
5256-SKJGO,No,0.029970168449113144,Low Risk
3071-VBYPO,No,0.46449014354651813,Medium Risk
9560-BBZXK,No,0.030016338515397693,Low Risk
5299-RULOA,Yes,0.6724130883230092,Medium Risk
8402-OOOHJ,No,0.009232730293476649,Low Risk
9445-ZUEQE,No,0.2986571368315185,Low Risk
1091-SOZGA,No,0.2125072931249625,Low Risk
2928-HLDBA,No,0.15504137167861093,Low Risk
0404-SWRVG,Yes,0.7517088172057852,High Risk
6497-TILVL,No,0.18203115061580846,Low Risk
7219-TLZHO,No,0.14063588601006594,Low Risk
4622-YNKIJ,No,0.12048326345379722,Low Risk
4412-YLTKF,Yes,0.607615431669519,Medium Risk
6734-PSBAW,No,0.0045568514655424915,Low Risk
3930-ZGWVE,No,0.19447939475163054,Low Risk
2639-UGMAZ,No,0.0592484080764538,Low Risk
2876-GZYZC,Yes,0.7302037701246594,High Risk
6207-WIOLX,No,0.2582531569198503,Low Risk
8587-XYZSF,No,0.006390307150714715,Low Risk
3091-FYHKI,Yes,0.7012793651257401,High Risk
2372-HWUHI,No,0.4195655498629125,Medium Risk
7799-LGRDP,No,0.015665815561950677,Low Risk
7850-VWJUU,No,0.33623566127413845,Low Risk
3774-VBNXY,No,0.0026193257038488126,Low Risk
6217-KDYWC,No,0.0053568080924172555,Low Risk
0390-DCFDQ,Yes,0.6680777633946414,Medium Risk
3146-MSEGF,No,0.015310692972652263,Low Risk
4080-OGPJL,No,0.29518217631871363,Low Risk
1095-WGNGG,No,0.11628266934643644,Low Risk
2636-SJDOU,No,0.07290329166594227,Low Risk
1131-QQZEB,No,0.0038228332577195665,Low Risk
5716-EZXZN,No,0.03356602375318635,Low Risk
6837-BJYDQ,No,0.0984530321153903,Low Risk
2135-RXIHG,Yes,0.5161499305413638,Medium Risk
6440-DKQGE,No,0.06510753120446038,Low Risk
3466-BYAVD,No,0.21837108895183174,Low Risk
3780-YVMFA,No,0.42776754282303364,Medium Risk
3874-EQOEP,Yes,0.6788664580105811,Medium Risk
1679-JRFBR,No,0.11602639768142961,Low Risk
9073-ZZIAY,No,0.012553687685686522,Low Risk
3077-RSNTJ,No,0.1326297826530082,Low Risk
6551-GNYDG,Yes,0.5146682483975646,Medium Risk
9167-APMXZ,Yes,0.5812860685487066,Medium Risk
2749-CTKAJ,No,0.035037027470683116,Low Risk
6371-NZYEG,No,0.050455271790238856,Low Risk
7554-NEWDD,No,0.04771120714131438,Low Risk
8992-VONJD,No,0.2250870127689833,Low Risk
0867-MKZVY,No,0.42574243699057557,Medium Risk
4482-EWFMI,Yes,0.6949338493561054,Medium Risk
4648-YPBTM,No,0.03003453520447841,Low Risk
2907-ILJBN,No,0.05588659704714701,Low Risk
6345-FZOQH,No,0.0026568059805020107,Low Risk
3376-BMGFE,Yes,0.5855896912622841,Medium Risk
5997-OPVFA,No,0.016365932482134294,Low Risk
3445-HXXGF,No,0.18236720232011971,Low Risk
1159-WFSGR,No,0.1145869240158018,Low Risk
7654-YWJUF,No,0.08690539139910301,Low Risk
1875-QIVME,Yes,0.7656894689479203,High Risk
6727-IOTLZ,No,0.07336647435728154,Low Risk
0691-JVSYA,No,0.21184495709993023,Low Risk
5918-VUKWP,No,0.024749103035003717,Low Risk
1744-JHKYS,No,0.08817245189520319,Low Risk
2656-FMOKZ,Yes,0.6273938729732105,Medium Risk
2070-FNEXE,No,0.3972700049558734,Low Risk
5947-SGKCL,Yes,0.5985556414145226,Medium Risk
3712-PKXZA,No,0.009641277954836333,Low Risk
6317-YPKDH,No,0.42185180159733404,Medium Risk
6582-OIVSP,No,0.3470342798124846,Low Risk
9367-WXLCH,Yes,0.6024701910814377,Medium Risk
5524-KHNJP,No,0.06266999379607094,Low Risk
1918-ZBFQJ,Yes,0.569414307803253,Medium Risk
1024-GUALD,Yes,0.6552767748212532,Medium Risk
4827-USJHP,No,0.23328637561522628,Low Risk
8167-GJLRN,No,0.4490546572933686,Medium Risk
0956-SYCWG,No,0.08347449569377201,Low Risk
8017-UVSZU,No,0.11100705656193566,Low Risk
7100-FQPRV,No,0.048017396552700486,Low Risk
2472-OVKUP,Yes,0.6745241743771878,Medium Risk
2984-RGEYA,No,0.0019451946136421888,Low Risk
9680-NIAUV,No,0.041315964474151375,Low Risk
2146-EGVDT,No,0.0031128212474853152,Low Risk
2604-IJPDU,No,0.387004969296087,Low Risk
9178-JHUVJ,No,0.03136679229932616,Low Risk
6168-YBYNP,No,0.38388055879789057,Low Risk
7255-SSFBC,No,0.0604410286877873,Low Risk
3645-DEYGF,No,0.15936133564786661,Low Risk
9323-HGFWY,No,0.20455601016892044,Low Risk
8544-GOQSH,No,0.36928716393859823,Low Risk
3363-DTIVD,No,0.06496476890627681,Low Risk
7018-WBJNK,Yes,0.5263179529198744,Medium Risk
9142-KZXOP,No,0.19657682470432827,Low Risk
7674-YTAFD,No,0.140457786071078,Low Risk
6348-SNFUS,No,0.008163190593286108,Low Risk
1285-OKIPP,Yes,0.6742069416285809,Medium Risk
7825-ECJRF,No,0.48435745057975527,Medium Risk
1347-KTTTA,No,0.11896832858785429,Low Risk
7841-TZDMQ,No,0.4021735674272852,Medium Risk
4195-NZGTA,Yes,0.560056000625652,Medium Risk
7157-SMCFK,No,0.0029750249591938512,Low Risk
4709-LKHYG,No,0.0337448559032919,Low Risk
2504-DSHIH,Yes,0.613170215984802,Medium Risk
0699-NDKJM,No,0.12022858109626973,Low Risk
9286-BHDQG,No,0.0035672327549862567,Low Risk
0230-WEQUW,No,0.012648079306393455,Low Risk
2040-LDIWQ,No,0.02282731950479508,Low Risk
6496-JDSSB,Yes,0.613115408858063,Medium Risk
9408-SSNVZ,Yes,0.677739397104155,Medium Risk
4443-EMBNA,No,0.003249595770442404,Low Risk
6469-MRVET,No,0.16057659564076746,Low Risk
0742-MOABM,No,0.25296410011411485,Low Risk
5961-VUSRV,No,0.0865061977437244,Low Risk
6778-JFCMK,No,0.22238540335905946,Low Risk
6341-JVQGF,No,0.07366049980301635,Low Risk
2232-DMLXU,No,0.40407835009908316,Medium Risk
4811-JBUVU,No,0.43406625974640906,Medium Risk
0945-TSONX,No,0.0271572689846923,Low Risk
2651-ZCBXV,No,0.0767742469234962,Low Risk
3316-UWXUY,No,0.1576467969245679,Low Risk
8937-RDTHP,Yes,0.5917151205635459,Medium Risk
7083-MIOPC,No,0.002056355349322447,Low Risk
1984-GPTEH,No,0.10642926604604595,Low Risk
1251-KRREG,No,0.46268678550899095,Medium Risk
0621-JFHOL,No,0.14000380806098672,Low Risk
9903-LYSAB,Yes,0.6543091994856047,Medium Risk
0094-OIFMO,Yes,0.7295749384204626,High Risk
9227-UAQFT,No,0.029707043816693913,Low Risk
7301-ABVAD,No,0.016107492665319,Low Risk
6614-FHDBO,No,0.05254793091479807,Low Risk
7576-ASEJU,No,0.05085537355098458,Low Risk
9058-HRZSV,No,0.16552482605566907,Low Risk
4522-AKYLR,No,0.38507196964368423,Low Risk
0221-WMXNQ,Yes,0.5274394086296077,Medium Risk
0303-UNCIP,No,0.09073235770267697,Low Risk
9947-OTFQU,Yes,0.5918087457056972,Medium Risk
0322-YINQP,No,0.3478364778553985,Low Risk
0959-WHOKV,No,0.258897538641524,Low Risk
4075-JFPGR,No,0.15248986348913462,Low Risk
4629-NRXKX,Yes,0.5593014467640108,Medium Risk
9514-JDSKI,Yes,0.6158451113461745,Medium Risk
3282-ZISZV,No,0.07904099121554554,Low Risk
3675-YDUPJ,No,0.18676771431414949,Low Risk
4111-BNXIF,No,0.029046086479832735,Low Risk
7017-VFHAY,No,0.038105162761752895,Low Risk
6655-LHBYW,No,0.11329353589866163,Low Risk
4959-JOSRX,No,0.40823476379759516,Medium Risk
5046-NUHWD,No,0.35157878274623877,Low Risk
7273-TEFQD,Yes,0.7036734056919441,High Risk
3606-TWKGI,Yes,0.7645801587321545,High Risk
7529-ZDFXI,No,0.41214385983009955,Medium Risk
7605-BDWDC,No,0.044499041916247414,Low Risk
1950-KSVVJ,No,0.13485154754670256,Low Risk
0123-CRBRT,No,0.014379394677662157,Low Risk
6292-TOSSS,No,0.008134207413208054,Low Risk
3197-ARFOY,No,0.42089174625189024,Medium Risk
6323-AYBRX,No,0.004120477240637983,Low Risk
7014-ZZXAW,No,0.004510511854228229,Low Risk
4385-GZQXV,Yes,0.6554777154256495,Medium Risk
7633-MVPUY,No,0.01334984174855547,Low Risk
6366-ZGQGL,No,0.4719870462112116,Medium Risk
4716-HHKQH,Yes,0.5791476902155046,Medium Risk
5940-AHUHD,Yes,0.5452536045174776,Medium Risk
6432-TWQLB,Yes,0.6203825621433289,Medium Risk
4484-GLZOU,Yes,0.5185950775282222,Medium Risk
3179-GBRWV,No,0.22359339163400985,Low Risk
8645-KWHJO,Yes,0.5433029487741969,Medium Risk
4130-MZLCC,No,0.25951386033949064,Low Risk
0314-TKOSI,No,0.19394942460598955,Low Risk
8229-MYEJZ,No,0.2945150042321467,Low Risk
2080-SRCDE,No,0.1992657077033544,Low Risk
9577-WJVCQ,No,0.03464425531354962,Low Risk
9512-UIBFX,No,0.4798544856641347,Medium Risk
6202-DYYFX,No,0.33891007257419936,Low Risk
3808-HFKDE,No,0.3325372025650658,Low Risk
5583-SXDAG,Yes,0.6279312953519179,Medium Risk
3488-PGMQJ,Yes,0.6497054259950219,Medium Risk
3580-REOAC,No,0.33164028993973294,Low Risk
7534-BFESC,Yes,0.6208074639059593,Medium Risk
3727-OWVYD,No,0.03726084697537911,Low Risk
2294-SALNE,No,0.11619064984458628,Low Risk
4847-TAJYI,Yes,0.7876359584541661,High Risk
1563-IWQEX,No,0.12370843542785954,Low Risk
8203-XJZRC,No,0.19296394762993033,Low Risk
6556-DBKZF,No,0.030437698194163587,Low Risk
6851-WEFYX,Yes,0.6815890700664952,Medium Risk
2985-JUUBZ,No,0.32554403946015964,Low Risk
6390-DSAZX,No,0.48102276335762945,Medium Risk
0895-LMRSF,No,0.2056932728304728,Low Risk
8098-LLAZX,Yes,0.8371193612442364,High Risk
8266-VBFQL,Yes,0.6423236104388597,Medium Risk
8181-YHCMF,No,0.012640468560455809,Low Risk
2240-HSJQD,No,0.3189421875626788,Low Risk
1248-DYXUB,No,0.006535280915942461,Low Risk
0265-EDXBD,Yes,0.5661865081079657,Medium Risk
4115-BNPJY,No,0.0425352777901807,Low Risk
3167-SNQPL,No,0.4845456272599994,Medium Risk
4091-TVOCN,No,0.07400879175341338,Low Risk
1098-TDVUQ,No,0.24317064093805454,Low Risk
7277-OZCGZ,No,0.4117722319555186,Medium Risk
1557-EMYVT,No,0.06905803266871628,Low Risk
2799-ARNLO,Yes,0.7089019087090012,High Risk
7563-BIUPC,Yes,0.7228687358671916,High Risk
5027-YOCXN,No,0.09034373336816891,Low Risk
3973-SKMLN,No,0.003070243228516628,Low Risk
2321-OMBXY,No,0.03335559246177712,Low Risk
2840-XANRC,Yes,0.6913605785243858,Medium Risk
6745-JEFZB,No,0.39831056998538755,Low Risk
5020-ZSTTY,No,0.040500651147272,Low Risk
9880-TDQAC,No,0.02328224330826279,Low Risk
8705-WZCYL,Yes,0.5202679604038287,Medium Risk
7102-JJVTX,No,0.09529972561299353,Low Risk
8626-PTQGE,No,0.015518953123555964,Low Risk
4983-CLMLV,No,0.3225769799622155,Low Risk
5701-YVSVF,Yes,0.6414017303764613,Medium Risk
5804-LEPIM,Yes,0.7223259052403594,High Risk
5697-GOMBF,No,0.40204907554431296,Medium Risk
2739-CACDQ,Yes,0.5720320948711553,Medium Risk
9385-EHGDO,No,0.014692069272008359,Low Risk
9498-FIMXL,No,0.11019370169005324,Low Risk
2379-GYFLQ,No,0.22571539469425664,Low Risk
0122-OAHPZ,Yes,0.722794216407382,High Risk
2868-SNELZ,Yes,0.5925975990143929,Medium Risk
4322-RCYMT,No,0.02896857569035917,Low Risk
6680-NENYN,No,0.2612747595062398,Low Risk
2088-IEBAU,No,0.0277449001647388,Low Risk
7982-VCELR,No,0.43422007128917234,Medium Risk
1343-EHPYB,No,0.4490807589007497,Medium Risk
6035-BXTTY,No,0.09355790341870031,Low Risk
6885-PKOAM,No,0.012021214066660194,Low Risk
7520-HQWJU,No,0.038626689871554695,Low Risk
9639-BUJXT,No,0.006656574148786029,Low Risk
5924-SNGKP,No,0.018746373577730423,Low Risk
0021-IKXGC,Yes,0.7926767948856461,High Risk
2034-GDRCN,Yes,0.7783783460798,High Risk
8966-SNIZF,No,0.002282403954708655,Low Risk
6243-OZGFH,Yes,0.5400581451652667,Medium Risk
4654-DLAMQ,No,0.06700836154000088,Low Risk
0513-RBGPE,No,0.02353880095662009,Low Risk
5160-UXJED,No,0.100458872576898,Low Risk
4115-NZRKS,Yes,0.7798880697772774,High Risk
0219-YTZUE,Yes,0.5687426999780981,Medium Risk
0623-IIHUG,No,0.4224413627548112,Medium Risk
4572-DVCGN,Yes,0.6001635655653708,Medium Risk
3351-NGXYI,No,0.37970317136360837,Low Risk
8984-EYLLL,No,0.12615440000000475,Low Risk
9057-MSWCO,No,0.17270685031904698,Low Risk
9833-TGFHX,No,0.22858080206096015,Low Risk
9294-TDIPC,No,0.13680100719756608,Low Risk
5229-DTFYB,No,0.1076101693787896,Low Risk
0104-PPXDV,No,0.02443676871324027,Low Risk
5176-LMJXE,No,0.01012086814732672,Low Risk
3583-KRKMD,No,0.3855669629058848,Low Risk
1010-DIAUQ,Yes,0.5946964613415782,Medium Risk
9069-LGEUL,No,0.2147227978898806,Low Risk
7302-ZHMHP,No,0.19290672213448673,Low Risk
9571-EDEBV,No,0.1868790199213782,Low Risk
3520-FJGCV,No,0.04369941253981621,Low Risk
6563-VRERX,No,0.02137371191258357,Low Risk
0259-GBZSH,Yes,0.7928336726341965,High Risk
6122-EFVKN,No,0.031456589003971636,Low Risk
2805-EDJPQ,No,0.11292015681446387,Low Risk
6862-CQUMB,No,0.4254187940102073,Medium Risk
7156-MXBJE,No,0.06893254542686392,Low Risk
6158-HDPXZ,No,0.48781707360984194,Medium Risk
9601-BRXPO,Yes,0.5396034600213848,Medium Risk
2863-IMQDR,No,0.021941346564209093,Low Risk
5686-CMAWK,No,0.29560780851871626,Low Risk
5651-CRHKQ,No,0.10802157387337116,Low Risk
6905-NIQIN,No,0.3109753681203165,Low Risk
8204-YJCLA,No,0.013853403480106278,Low Risk
5167-ZFFMM,Yes,0.6850887332283881,Medium Risk
6583-SZVGP,No,0.160575665141998,Low Risk
4895-TMWIR,No,0.15107408329778582,Low Risk
0533-BNWKF,No,0.36404370525252094,Low Risk
1708-PBBOA,No,0.08069042169699261,Low Risk
8782-LKFPK,No,0.4406829933225907,Medium Risk
5522-JBWMO,No,0.37808617983274356,Low Risk
3597-MVHJT,Yes,0.6095722910124909,Medium Risk
9774-NRNAU,No,0.30869413984928173,Low Risk
0224-RLWWD,Yes,0.543168727485648,Medium Risk
9967-ATRFS,No,0.09234050894538136,Low Risk
3951-NJCVI,Yes,0.6352626933709248,Medium Risk
2977-CEBSX,No,0.01895474756844485,Low Risk
0177-PXBAT,No,0.4394949751476673,Medium Risk
6599-CEBNN,No,0.3037478637112191,Low Risk
2519-ERQOJ,No,0.40041985139004144,Medium Risk
5876-QMYLD,No,0.032680458334938864,Low Risk
2277-AXSDC,No,0.0249565284617311,Low Risk
9442-JTWDL,No,0.06207570045331892,Low Risk
0979-PHULV,No,0.2907144657482478,Low Risk
3067-SVMTC,No,0.008688923161764749,Low Risk
5495-GPSRW,No,0.03604378537098756,Low Risk
7606-BPHHN,No,0.0030021901010460145,Low Risk
4742-DRORA,No,0.11385593117169633,Low Risk
0111-KLBQG,No,0.46443502847380846,Medium Risk
4800-VHZKI,No,0.25466459769423494,Low Risk
7989-CHGTL,No,0.25992609721049315,Low Risk
0334-GDDSO,Yes,0.7379741691374058,High Risk
4163-NCJAK,No,0.026751178885369212,Low Risk
5233-AOZUF,Yes,0.5538586453011991,Medium Risk
5973-EJGDP,No,0.28790584343319026,Low Risk
1996-DBMUS,No,0.2755126951408019,Low Risk
7916-VCCPB,No,0.320185605101907,Low Risk
4686-GEFRM,No,0.05486061403399809,Low Risk
5249-QYHEX,No,0.016180686305982253,Low Risk
0578-SKVMF,No,0.4245491475568316,Medium Risk
5564-NEMQO,Yes,0.6386270679652382,Medium Risk
2233-FAGXV,No,0.2392663810445862,Low Risk
5605-IYGFG,Yes,0.5670601737305994,Medium Risk
7663-ZTEGJ,No,0.15200002865339976,Low Risk
3935-TBRZZ,No,0.017910351226530376,Low Risk
8111-BKVDS,No,0.23922598763370237,Low Risk
2055-SIFSS,No,0.08402075498797294,Low Risk
2806-MLNTI,No,0.287727879130201,Low Risk
8734-DKSTZ,Yes,0.6203855505049954,Medium Risk
4360-PNRQB,Yes,0.5514630107562917,Medium Risk
6152-ONASV,No,0.01250267771356635,Low Risk
9063-ZGTUY,No,0.016890626073231,Low Risk
7781-HVGMK,No,0.01148345717550153,Low Risk
2181-UAESM,No,0.31802250843172136,Low Risk
2957-LOLHO,No,0.3173029194995784,Low Risk
6048-NJXHX,No,0.01947209520465828,Low Risk
2320-SLKMB,No,0.27157130706919264,Low Risk
4980-URKXC,No,0.02130801901713897,Low Risk
4376-KFVRS,No,0.045919926416406444,Low Risk
5886-VLQVU,No,0.4088406396294793,Medium Risk
3577-AMVUX,No,0.265294958750727,Low Risk
0771-WLCLA,Yes,0.5339395772686422,Medium Risk
5628-RKIFK,No,0.3105570543781977,Low Risk
0206-TBWLC,No,0.14998964152336172,Low Risk
2937-FTHUR,No,0.2571973028939513,Low Risk
1910-FMXJM,No,0.4005567079440921,Medium Risk
7752-XUSCI,No,0.4525115150491876,Medium Risk
4110-PFEUZ,Yes,0.5449218863597277,Medium Risk
0732-OCQOC,No,0.008636149458386155,Low Risk
5168-MSWXT,Yes,0.7069923336096648,High Risk
1090-ESELR,No,0.0207601658220341,Low Risk
8592-PLTMQ,No,0.008988385806922048,Low Risk
5760-WRAHC,No,0.1903834515537738,Low Risk
8847-GEOOQ,No,0.11235165796607446,Low Risk
0256-LTHVJ,No,0.4939716404066331,Medium Risk
4785-FCIFB,No,0.005316041536981887,Low Risk
8313-NDOIA,Yes,0.6832065528031055,Medium Risk
5149-CUZUJ,No,0.13368961820174335,Low Risk
0942-KOWSM,No,0.03320356019538994,Low Risk
4237-CLSMM,No,0.18959065606134046,Low Risk
1452-VOQCH,Yes,0.7613389869642198,High Risk
4719-UMSIY,No,0.1325647751931806,Low Risk
6614-VBEGU,No,0.3002399687624906,Low Risk
0880-TKATG,Yes,0.7076718997228552,High Risk
3811-VBYBZ,Yes,0.7788391516609471,High Risk
1480-BKXGA,No,0.06339428207537423,Low Risk
2996-XAUVF,No,0.016867033593397678,Low Risk
9076-AXYIK,No,0.11628361876432096,Low Risk
5968-XQIVE,No,0.1418253843360832,Low Risk
8896-RAZCR,No,0.006501309668385518,Low Risk
4640-UHDOS,No,0.3166307622018418,Low Risk
4933-IKULF,No,0.05921394278810575,Low Risk
3583-EKAPL,Yes,0.5743233480773725,Medium Risk
1304-BCCFO,No,0.4746467329936861,Medium Risk
4104-PVRPS,No,0.0965574499672928,Low Risk
9399-APLBT,Yes,0.6174069044799869,Medium Risk
2359-KMGLI,Yes,0.5549085534216837,Medium Risk
3780-DDGSE,No,0.22762192635661901,Low Risk
4431-EDMIQ,No,0.24068932487725242,Low Risk
0306-JAELE,Yes,0.6904211620359871,Medium Risk
6227-HWPWX,No,0.35331958445492073,Low Risk
0486-LGCCH,No,0.030941746849593298,Low Risk
0447-BEMNG,No,0.12970428136934387,Low Risk
4612-SSVHJ,Yes,0.6441809237345828,Medium Risk
5168-MQQCA,No,0.1391292884583183,Low Risk
5949-XIKAE,Yes,0.6234624941314348,Medium Risk
7971-HLVXI,No,0.057786874929941626,Low Risk
9094-AZPHK,Yes,0.7301433798012343,High Risk
3649-JPUGY,No,0.022034726646384315,Low Risk
4472-LVYGI,No,0.12413082355759512,Low Risk
8372-JUXUI,Yes,0.7215509228122181,High Risk
3552-CTCYF,No,0.09982819882208398,Low Risk
6778-YSNIH,Yes,0.5199136575876183,Medium Risk
0388-EOPEX,Yes,0.6047400092197651,Medium Risk
5756-OZRIO,No,0.04581367640362356,Low Risk
6579-JPICP,No,0.19251106933212778,Low Risk
8205-OTCHB,No,0.21568661917893775,Low Risk
4134-BSXLX,No,0.07209797100106631,Low Risk
0505-SPOOW,No,0.0023174645905438603,Low Risk
6235-VDHOM,Yes,0.5154752678989005,Medium Risk
7783-YKGDV,Yes,0.5120485429682704,Medium Risk
4374-YMUSQ,No,0.1517390491818131,Low Risk
4513-CXYIX,No,0.040283315167960874,Low Risk
3957-HHLMR,No,0.017929358234313884,Low Risk
7803-XOCCZ,No,0.10304058583128256,Low Risk
5736-YEJAX,No,0.009775834563851251,Low Risk
5609-CEBID,Yes,0.6753054621949439,Medium Risk
8981-FJGLA,Yes,0.5744519629313879,Medium Risk
7218-HKQFK,Yes,0.7203089868157475,High Risk
4636-QRJKY,Yes,0.5980599183818786,Medium Risk
1135-LMECX,No,0.19080069457324764,Low Risk
4332-MUOEZ,No,0.13722826538798716,Low Risk
8535-SFUTN,No,0.3777486975108688,Low Risk
5956-VKDTT,Yes,0.7639212274556854,High Risk
8677-HDZEE,No,0.30796778780827605,Low Risk
2475-MROZF,No,0.24949472483494667,Low Risk
9412-GHEEC,No,0.3524535408450705,Low Risk
3482-ABPKK,No,0.041250359790665235,Low Risk
6705-LXORM,Yes,0.6213383878816243,Medium Risk
0257-ZESQC,No,0.3343872778873875,Low Risk
7531-GQHME,No,0.11562440395298598,Low Risk
5174-ITUMV,No,0.21693187210846743,Low Risk
4109-CYRBD,No,0.35250923806119644,Low Risk
